--------- beginning of /dev/log/main
01-07 03:11:40.216 E/wpa_supplicant(  946): CMD: PING
01-07 03:12:41.196 D/ConnectivityService(  203): Dropping ConnectivityChange for WIFI: DISCONNECTED/IDLE
01-07 03:12:41.206 E/wpa_supplicant(  967): CMD: SCAN_RESULTS
01-07 03:12:41.206 D/wpa_supplicant(  967): REPLY: bssid / frequency / signal level / flags / ssid
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:01	2437	-63	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:02	2437	-64	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:00	2437	-64	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:04	2437	-64	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:03	2437	-65	[WPA-PSK-TKIP]	
01-07 03:12:41.206 D/wpa_supplicant(  967): d8:b3:77:7d:ea:d4	2412	-69	[WPA2-PSK-CCMP]	fb
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:64	2412	-86	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:61	2412	-87	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:62	2412	-88	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:60	2412	-88	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:14:78:e3:f4:3c	2437	-53	[WEP]		
01-07 03:12:41.206 E/wpa_supplicant(  967): CMD: LIST_NETWORKS
01-07 03:12:41.206 D/wpa_supplicant(  967): REPLY: network id / ssid / bssid / flags
01-07 03:12:41.206 E/wpa_supplicant(  967): CMD: SCAN_RESULTS
01-07 03:12:41.206 D/wpa_supplicant(  967): REPLY: bssid / frequency / signal level / flags / ssid
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:01	2437	-63	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:02	2437	-64	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:00	2437	-64	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:04	2437	-64	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:03	2437	-65	[WPA-PSK-TKIP]	
01-07 03:12:41.206 D/wpa_supplicant(  967): d8:b3:77:7d:ea:d4	2412	-69	[WPA2-PSK-CCMP]	fb
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:64	2412	-86	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:61	2412	-87	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:62	2412	-88	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:3a:98:1f:5f:60	2412	-88	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:41.206 D/wpa_supplicant(  967): 00:14:78:e3:f4:3c	2437	-53	[WEP]		
01-07 03:12:41.226 E/wpa_supplicant(  967): CMD: SCAN_RESULTS
01-07 03:12:41.226 D/wpa_supplicant(  967): REPLY: bssid / frequency / signal level / flags / ssid
01-07 03:12:41.226 D/wpa_supplicant(  967): 00:3a:98:1f:5f:01	2437	-63	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:41.226 D/wpa_supplicant(  967): 00:3a:98:1f:5f:02	2437	-64	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:41.226 D/wpa_supplicant(  967): 00:3a:98:1f:5f:00	2437	-64	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:41.226 D/wpa_supplicant(  967): 00:3a:98:1f:5f:04	2437	-64	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:12:41.226 D/wpa_supplicant(  967): 00:3a:98:1f:5f:03	2437	-65	[WPA-PSK-TKIP]	
01-07 03:12:41.226 D/wpa_supplicant(  967): d8:b3:77:7d:ea:d4	2412	-69	[WPA2-PSK-CCMP]	fb
01-07 03:12:41.226 D/wpa_supplicant(  967): 00:3a:98:1f:5f:64	2412	-86	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:12:41.226 D/wpa_supplicant(  967): 00:3a:98:1f:5f:61	2412	-87	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:41.226 D/wpa_supplicant(  967): 00:3a:98:1f:5f:62	2412	-88	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:41.226 D/wpa_supplicant(  967): 00:3a:98:1f:5f:60	2412	-88	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:41.226 D/wpa_supplicant(  967): 00:14:78:e3:f4:3c	2437	-53	[WEP]		
01-07 03:12:41.236 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:12:41.236 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:12:41.236 E/wpa_supplicant(  967): CMD: STATUS
01-07 03:12:41.236 D/wpa_supplicant(  967): REPLY: wpa_state=INACTIVE
01-07 03:12:41.236 D/wpa_supplicant(  967): p2p_device_address=02:09:23:20:11:aa
01-07 03:12:41.236 D/wpa_supplicant(  967): address=00:09:23:20:11:aa
01-07 03:12:41.236 E/wpa_supplicant(  967): CMD: DRIVER RSSI-APPROX
01-07 03:12:41.236 E/wpa_supplicant(  967): nl80211: issue private commands RSSI-APPROX
01-07 03:12:41.256 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:12:41.256 D/wpa_supplicant(  967): REPLY:  rssi 0
01-07 03:12:41.256 E/wpa_supplicant(  967): CMD: DRIVER LINKSPEED
01-07 03:12:41.256 E/wpa_supplicant(  967): nl80211: issue private commands LINKSPEED
01-07 03:12:41.256 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:12:41.256 D/wpa_supplicant(  967): REPLY: LinkSpeed 65
01-07 03:12:41.256 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:12:41.256 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:12:41.256 E/wpa_supplicant(  967): CMD: STATUS
01-07 03:12:41.256 D/wpa_supplicant(  967): REPLY: wpa_state=INACTIVE
01-07 03:12:41.256 D/wpa_supplicant(  967): p2p_device_address=02:09:23:20:11:aa
01-07 03:12:41.256 D/wpa_supplicant(  967): address=00:09:23:20:11:aa
01-07 03:12:41.256 E/wpa_supplicant(  967): CMD: DRIVER RSSI-APPROX
01-07 03:12:41.256 E/wpa_supplicant(  967): nl80211: issue private commands RSSI-APPROX
01-07 03:12:41.256 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:12:41.256 D/wpa_supplicant(  967): REPLY:  rssi 0
01-07 03:12:41.256 E/wpa_supplicant(  967): CMD: DRIVER LINKSPEED
01-07 03:12:41.256 E/wpa_supplicant(  967): nl80211: issue private commands LINKSPEED
01-07 03:12:41.256 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:12:41.256 D/wpa_supplicant(  967): REPLY: LinkSpeed 65
01-07 03:12:42.447 I/System.out(  922): [INFO:454688]: g: Running flush
01-07 03:12:43.258 I/System.out(  922): [INFO:455498]: g: Sending payload [bytes=303]
01-07 03:12:44.299 I/System.out(  922): [SEVERE:456538]: g: AsyncHttpRequestImpl.run(): exception thrown : www.google.com: java.net.UnknownHostException
01-07 03:12:44.429 E/GlsClient-query(  922): requestFailed
01-07 03:12:44.429 E/GlsClient-query(  922): java.net.UnknownHostException: www.google.com
01-07 03:12:44.429 E/GlsClient-query(  922): 	at java.net.InetAddress.lookupHostByName(InetAddress.java:508)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at java.net.InetAddress.getAllByNameImpl(InetAddress.java:296)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at java.net.InetAddress.getAllByName(InetAddress.java:258)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:136)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at org.apache.http.impl.conn.AbstractPoolEntry.open(AbstractPoolEntry.java:164)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at org.apache.http.impl.conn.AbstractPooledConnAdapter.open(AbstractPooledConnAdapter.java:119)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:359)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at android.net.http.AndroidHttpClient.execute(AndroidHttpClient.java:248)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at com.google.android.common.http.GoogleHttpClient.executeWithoutRewriting(GoogleHttpClient.java:202)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at com.google.android.common.http.GoogleHttpClient.execute(GoogleHttpClient.java:244)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at com.google.android.common.http.GoogleHttpClient.execute(GoogleHttpClient.java:312)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at P.c.h(Unknown Source)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at P.c.d(Unknown Source)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at at.d.run(Unknown Source)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at at.g.c(Unknown Source)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at at.g.run(Unknown Source)
01-07 03:12:44.429 E/GlsClient-query(  922): 	at aJ.b.run(Unknown Source)
01-07 03:12:45.270 E/wpa_supplicant(  967): CMD: PING
01-07 03:12:45.270 D/wpa_supplicant(  967): REPLY: PONG
01-07 03:12:46.451 E/wpa_supplicant(  967): CMD: DRIVER SCAN-ACTIVE
01-07 03:12:46.451 E/wpa_supplicant(  967): nl80211: issue private commands SCAN-ACTIVE
01-07 03:12:46.451 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd SCAN-ACTIVE len = 0, 11
01-07 03:12:46.451 D/wpa_supplicant(  967): REPLY: OK
01-07 03:12:46.461 E/wpa_supplicant(  967): CMD: SCAN
01-07 03:12:46.461 D/wpa_supplicant(  967): REPLY: OK
01-07 03:12:46.461 I/wpa_supplicant(  967): wlan0: CTRL-EVENT-STATE-CHANGE id=-1 state=3 BSSID=00:00:00:00:00:00
01-07 03:12:46.461 D/wpa_supplicant(  967): wpa_state_to_wapi_state wpa_state : 3 change to wapi_state
01-07 03:12:46.461 D/wpa_supplicant(  967): wpa_supplicant_set_state wapi_state : 3
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS: Building WPS IE for Probe Request
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Version (hardcoded 0x10)
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Request Type
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Config Methods (2388)
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * UUID-E
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Primary Device Type
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * RF Bands (3)
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Association State
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Configuration Error (0)
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Device Password ID (0)
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Manufacturer
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Model Name
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Model Number
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Device Name
01-07 03:12:46.461 D/wpa_supplicant(  967): WPS:  * Version2 (0x20)
01-07 03:12:46.461 D/wpa_supplicant(  967): P2P: * P2P IE header
01-07 03:12:46.461 D/wpa_supplicant(  967): P2P: * Capability dev=27 group=00
01-07 03:12:46.461 D/wpa_supplicant(  967): P2P: * Listen Channel: Regulatory Class 81 Channel 1
01-07 03:12:46.461 D/wpa_supplicant(  967): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:12:46.461 V/WifiMonitor(  203): Event [CTRL-EVENT-STATE-CHANGE id=-1 state=3 BSSID=00:00:00:00:00:00]
01-07 03:12:46.461 V/WifiMonitor(  203): Event [CTRL-EVENT-STATE-CHANGE id=-1 state=3 BSSID=00:00:00:00:00:00]
01-07 03:12:46.461 V/WifiStateTracker(  203): handleMessage(): msg.what= 3
01-07 03:12:46.461 V/WifiStateTracker(  203): Changing supplicant state: INACTIVE ==> SCANNING
01-07 03:12:46.561 D/wpa_supplicant(  967): Scan requested (ret=0) - scan timeout 30 seconds
01-07 03:12:46.561 D/wpa_supplicant(  967): nl80211: Event message available
01-07 03:12:46.561 D/wpa_supplicant(  967): nl80211: Scan trigger
01-07 03:12:46.561 E/wpa_supplicant(  967): CMD: DRIVER SCAN-PASSIVE
01-07 03:12:46.561 E/wpa_supplicant(  967): nl80211: issue private commands SCAN-PASSIVE
01-07 03:12:46.561 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd SCAN-PASSIVE len = 0, 12
01-07 03:12:46.561 D/wpa_supplicant(  967): REPLY: OK
01-07 03:12:46.561 D/NetworkStateTracker(  203): setDetailed state, old =IDLE and new state=SCANNING
01-07 03:12:46.561 V/WifiStateTracker(  203): handleMessage(): msg.what= 3
01-07 03:12:46.561 V/WifiStateTracker(  203): Changing supplicant state: SCANNING ==> SCANNING
01-07 03:12:46.561 D/ConnectivityService(  203): Dropping ConnectivityChange for WIFI: DISCONNECTED/SCANNING
01-07 03:12:46.601 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:12:46.601 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:12:46.601 E/wpa_supplicant(  967): CMD: STATUS
01-07 03:12:46.601 D/wpa_supplicant(  967): REPLY: wpa_state=SCANNING
01-07 03:12:46.601 D/wpa_supplicant(  967): p2p_device_address=02:09:23:20:11:aa
01-07 03:12:46.601 D/wpa_supplicant(  967): address=00:09:23:20:11:aa
01-07 03:12:46.601 E/wpa_supplicant(  967): CMD: DRIVER RSSI-APPROX
01-07 03:12:46.601 E/wpa_supplicant(  967): nl80211: issue private commands RSSI-APPROX
01-07 03:12:46.601 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:12:46.601 D/wpa_supplicant(  967): REPLY:  rssi 0
01-07 03:12:46.601 E/wpa_supplicant(  967): CMD: DRIVER LINKSPEED
01-07 03:12:46.601 E/wpa_supplicant(  967): nl80211: issue private commands LINKSPEED
01-07 03:12:46.601 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:12:46.601 D/wpa_supplicant(  967): REPLY: LinkSpeed 65
01-07 03:12:46.601 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:12:46.601 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:12:46.601 E/wpa_supplicant(  967): CMD: STATUS
01-07 03:12:46.601 D/wpa_supplicant(  967): REPLY: wpa_state=SCANNING
01-07 03:12:46.601 D/wpa_supplicant(  967): p2p_device_address=02:09:23:20:11:aa
01-07 03:12:46.601 D/wpa_supplicant(  967): address=00:09:23:20:11:aa
01-07 03:12:46.601 E/wpa_supplicant(  967): CMD: DRIVER RSSI-APPROX
01-07 03:12:46.601 E/wpa_supplicant(  967): nl80211: issue private commands RSSI-APPROX
01-07 03:12:46.611 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:12:46.611 D/wpa_supplicant(  967): REPLY:  rssi 0
01-07 03:12:46.611 E/wpa_supplicant(  967): CMD: DRIVER LINKSPEED
01-07 03:12:46.611 E/wpa_supplicant(  967): nl80211: issue private commands LINKSPEED
01-07 03:12:46.611 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:12:46.611 D/wpa_supplicant(  967): REPLY: LinkSpeed 65
01-07 03:12:47.232 D/wpa_supplicant(  967): nl80211: Event message available
01-07 03:12:47.232 D/wpa_supplicant(  967): nl80211: New scan results available
01-07 03:12:47.232 D/wpa_supplicant(  967): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:12:47.232 D/wpa_supplicant(  967): Received scan results (14 BSSes)
01-07 03:12:47.232 D/wpa_supplicant(  967): Add randomness: count=11 entropy=10
01-07 03:12:47.232 D/wpa_supplicant(  967): Add randomness: count=12 entropy=11
01-07 03:12:47.232 D/wpa_supplicant(  967): Add randomness: count=13 entropy=12
01-07 03:12:47.232 D/wpa_supplicant(  967): Add randomness: count=14 entropy=13
01-07 03:12:47.232 D/wpa_supplicant(  967): Add randomness: count=15 entropy=14
01-07 03:12:47.232 D/wpa_supplicant(  967): Add randomness: count=16 entropy=15
01-07 03:12:47.232 D/wpa_supplicant(  967): Add randomness: count=17 entropy=16
01-07 03:12:47.232 D/wpa_supplicant(  967): Add randomness: count=18 entropy=17
01-07 03:12:47.232 D/wpa_supplicant(  967): Add randomness: count=19 entropy=18
01-07 03:12:47.232 D/wpa_supplicant(  967): Add randomness: count=20 entropy=19
01-07 03:12:47.232 I/wpa_supplicant(  967): wlan0: CTRL-EVENT-STATE-CHANGE id=-1 state=2 BSSID=00:00:00:00:00:00
01-07 03:12:47.232 D/wpa_supplicant(  967): wpa_state_to_wapi_state wpa_state : 2 change to wapi_state
01-07 03:12:47.232 D/wpa_supplicant(  967): wpa_supplicant_set_state wapi_state : 2
01-07 03:12:47.232 V/WifiMonitor(  203): Event [CTRL-EVENT-BSS-ADDED 11 00:3a:98:1f:5f:63]
01-07 03:12:47.232 V/WifiMonitor(  203): Event [CTRL-EVENT-BSS-ADDED 12 00:3a:98:1f:6a:00]
01-07 03:12:47.232 V/WifiMonitor(  203): Event [CTRL-EVENT-BSS-ADDED 13 00:3a:98:1f:6a:02]
01-07 03:12:47.232 I/dun_service(  123): process rmnet event
01-07 03:12:47.232 I/dun_service(  123): Post event 3
01-07 03:12:47.232 I/dun_service(  115): process rmnet event
01-07 03:12:47.232 I/dun_service(  115): Post event 3
01-07 03:12:47.232 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:47.232 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:47.232 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:47.232 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:12:47.232 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:47.232 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:47.232 I/dun_service(  115): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:47.232 I/dun_service(  115): Moved to state(DUN_STATE_IDLE)
01-07 03:12:47.232 D/wpa_supplicant(  967): RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
01-07 03:12:47.232 D/wpa_supplicant(  967): RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
01-07 03:12:47.232 E/wpa_supplicant(  967): CMD: AP_SCAN 1
01-07 03:12:47.232 D/wpa_supplicant(  967): REPLY: OK
01-07 03:12:47.232 V/WifiMonitor(  203): Event [CTRL-EVENT-STATE-CHANGE id=-1 state=2 BSSID=00:00:00:00:00:00]
01-07 03:12:47.232 V/WifiMonitor(  203): Event [CTRL-EVENT-STATE-CHANGE id=-1 state=2 BSSID=00:00:00:00:00:00]
01-07 03:12:47.232 V/WifiStateTracker(  203): handleMessage(): msg.what= 5
01-07 03:12:47.232 V/WifiStateTracker(  203): handleMessage(): msg.what= 3
01-07 03:12:47.232 V/WifiStateTracker(  203): Changing supplicant state: SCANNING ==> INACTIVE
01-07 03:12:47.232 D/NetworkStateTracker(  203): setDetailed state, old =SCANNING and new state=IDLE
01-07 03:12:47.232 V/WifiStateTracker(  203): handleMessage(): msg.what= 3
01-07 03:12:47.232 V/WifiStateTracker(  203): Changing supplicant state: INACTIVE ==> INACTIVE
01-07 03:12:47.242 I/WifiSettings(  712): There is not any configured AP
01-07 03:12:47.242 E/wpa_supplicant(  967): CMD: SCAN_RESULTS
01-07 03:12:47.242 D/wpa_supplicant(  967): REPLY: bssid / frequency / signal level / flags / ssid
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:5f:01	2437	-62	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:5f:02	2437	-63	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:5f:00	2437	-66	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:5f:04	2437	-66	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:5f:03	2437	-65	[WPA-PSK-TKIP]	
01-07 03:12:47.242 D/wpa_supplicant(  967): d8:b3:77:7d:ea:d4	2412	-74	[WPA2-PSK-CCMP]	fb
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:5f:64	2412	-84	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:5f:61	2412	-84	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:5f:62	2412	-84	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:5f:60	2412	-85	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:14:78:e3:f4:3c	2437	-54	[WEP]		
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:5f:63	2412	-84	[WPA-PSK-TKIP]	
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:6a:00	2437	-92	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:47.242 D/wpa_supplicant(  967): 00:3a:98:1f:6a:02	2437	-97	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:47.252 E/wpa_supplicant(  967): CMD: LIST_NETWORKS
01-07 03:12:47.252 D/wpa_supplicant(  967): REPLY: network id / ssid / bssid / flags
01-07 03:12:47.252 E/wpa_supplicant(  967): CMD: SCAN_RESULTS
01-07 03:12:47.252 D/wpa_supplicant(  967): REPLY: bssid / frequency / signal level / flags / ssid
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:5f:01	2437	-62	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:5f:02	2437	-63	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:5f:00	2437	-66	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:5f:04	2437	-66	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:5f:03	2437	-65	[WPA-PSK-TKIP]	
01-07 03:12:47.252 D/wpa_supplicant(  967): d8:b3:77:7d:ea:d4	2412	-74	[WPA2-PSK-CCMP]	fb
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:5f:64	2412	-84	[WPA2-PSK-CCMP]	PHONE-WIFI2
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:5f:61	2412	-84	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:5f:62	2412	-84	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:5f:60	2412	-85	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:14:78:e3:f4:3c	2437	-54	[WEP]		
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:5f:63	2412	-84	[WPA-PSK-TKIP]	
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:6a:00	2437	-92	[WPA2-PSK-CCMP]	TCL-Internal
01-07 03:12:47.252 D/wpa_supplicant(  967): 00:3a:98:1f:6a:02	2437	-97	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:47.252 D/ConnectivityService(  203): Dropping ConnectivityChange for WIFI: DISCONNECTED/IDLE
01-07 03:12:47.262 D/WifiStateTracker(  203): requestConnectionInfo
01-07 03:12:47.262 D/WifiStateTracker(  203): requestConnectionStatus
01-07 03:12:47.262 E/wpa_supplicant(  967): CMD: STATUS
01-07 03:12:47.262 D/wpa_supplicant(  967): REPLY: wpa_state=INACTIVE
01-07 03:12:47.262 D/wpa_supplicant(  967): p2p_device_address=02:09:23:20:11:aa
01-07 03:12:47.262 D/wpa_supplicant(  967): address=00:09:23:20:11:aa
01-07 03:12:47.262 E/wpa_supplicant(  967): CMD: DRIVER RSSI-APPROX
01-07 03:12:47.262 E/wpa_supplicant(  967): nl80211: issue private commands RSSI-APPROX
01-07 03:12:47.272 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd  rssi 0 len = 7, 7
01-07 03:12:47.272 D/wpa_supplicant(  967): REPLY:  rssi 0
01-07 03:12:47.272 E/wpa_supplicant(  967): CMD: DRIVER LINKSPEED
01-07 03:12:47.272 E/wpa_supplicant(  967): nl80211: issue private commands LINKSPEED
01-07 03:12:47.272 E/wpa_supplicant(  967): wpa_driver_priv_driver_cmd LinkSpeed 65 len = 12, 12
01-07 03:12:47.272 D/wpa_supplicant(  967): REPLY: LinkSpeed 65
01-07 03:12:47.272 E/wpa_supplicant(  967): CMD: SCAN_RESULTS
01-07 03:12:47.272 D/wpa_supplicant(  967): REPLY: bssid / frequency / signal level / flags / ssid
01-07 03:12:47.272 D/wpa_supplicant(  967): 00:3a:98:1f:5f:01	2437	-62	[WPA2-PSK-CCMP]	Phone-WIFI
01-07 03:12:47.272 D/wpa_supplicant(  967): 00:3a:98:1f:5f:02	2437	-63	[WPA2-PSK-CCMP]	TCL-Guest
01-07 03:12:47.272 D/wpa_supplicant(  967): 00:3a:98:1f:5f:00	2437	-66	[WPA2-PSK-CCMP]	TCL-Internal
